dataset,missing_rate,mechanism,method,fold,r2,actual_miss_rate,status
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,0,0.42207501175031314,0.09815,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,0,0.3914520932255957,0.09815,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,0,0.3764668360661163,0.09815,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,0,0.6184022787109215,0.09815,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,0,0.6489366464643946,0.09815,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,0,0.2733042360628608,0.09815,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,0,0.6593930417718399,0.09815,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,1,0.4896229601702071,0.0982,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,1,0.4961344028949919,0.0982,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,1,0.5091913158007225,0.0982,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,1,0.6321730590294803,0.0982,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,1,0.6690021331514249,0.0982,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,1,0.5424796340907058,0.0982,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,1,0.6610130584239537,0.0982,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,2,0.4913440487676336,0.09965,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,2,0.41736973130653343,0.09965,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,2,0.45185814489386933,0.09965,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,2,0.6458990645156355,0.09965,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,2,0.6622308950217151,0.09965,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,2,0.46919337884899837,0.09965,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,2,0.6670108695703945,0.09965,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,3,-0.15441111097225257,0.097025,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,3,0.4946878110496171,0.097025,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,3,0.5111678728622534,0.097025,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,3,0.6333424896895687,0.097025,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,3,0.673332237825395,0.097025,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,3,0.5461266808925969,0.097025,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,3,0.691786175274131,0.097025,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,4,0.5276508516424265,0.097625,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,4,0.48415931164391823,0.097625,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,4,0.5273396635250336,0.097625,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,4,0.6723835522649955,0.097625,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,4,0.718833050505149,0.097625,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,4,0.57850629888539,0.097625,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,4,0.6966401781128997,0.097625,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,0,0.37773458117182956,0.167125,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,0,0.4635299068626967,0.167125,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,0,0.465046673524957,0.167125,success
CaliforniaHousing,0.1,MAR,PretrainEnc,0,0.6236730443865198,0.167125,success
CaliforniaHousing,0.1,MAR,ImputeMLP,0,0.649697360796455,0.167125,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,0,0.3931980009496503,0.167125,success
CaliforniaHousing,0.1,MAR,IterImp+RF,0,0.6420186060707904,0.167125,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,1,0.4084141453712977,0.16495,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,1,0.4495116591787418,0.16495,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,1,0.5249246640936902,0.16495,success
CaliforniaHousing,0.1,MAR,PretrainEnc,1,0.6101050561363599,0.16495,success
CaliforniaHousing,0.1,MAR,ImputeMLP,1,0.6634223276833283,0.16495,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,1,0.4856915325127539,0.16495,success
CaliforniaHousing,0.1,MAR,IterImp+RF,1,0.655503129576083,0.16495,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,2,0.23609892744113092,0.1655,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,2,0.3966028132554764,0.1655,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,2,0.3894214551625135,0.1655,success
CaliforniaHousing,0.1,MAR,PretrainEnc,2,0.512745797005068,0.1655,success
CaliforniaHousing,0.1,MAR,ImputeMLP,2,0.6513683806801396,0.1655,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,2,0.20529966196917337,0.1655,success
CaliforniaHousing,0.1,MAR,IterImp+RF,2,0.6323684088464785,0.1655,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,3,0.5054685960265284,0.16405,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,3,0.5627183745073496,0.16405,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,3,0.4837637443538779,0.16405,success
CaliforniaHousing,0.1,MAR,PretrainEnc,3,0.660086442531034,0.16405,success
CaliforniaHousing,0.1,MAR,ImputeMLP,3,0.7137754861551097,0.16405,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,3,0.562278921057719,0.16405,success
CaliforniaHousing,0.1,MAR,IterImp+RF,3,0.692618402791332,0.16405,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,4,0.5103065420296484,0.163025,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,4,0.5123260926836295,0.163025,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,4,0.5020694463986987,0.163025,success
CaliforniaHousing,0.1,MAR,PretrainEnc,4,0.6187373600206834,0.163025,success
CaliforniaHousing,0.1,MAR,ImputeMLP,4,0.6751031092452091,0.163025,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,4,0.5186921417169617,0.163025,success
CaliforniaHousing,0.1,MAR,IterImp+RF,4,0.6616502100302952,0.163025,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,0,0.2253342323259988,0.299575,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,0,0.284252690380596,0.299575,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,0,0.012933899043645947,0.299575,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,0,0.47269246674517507,0.299575,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,0,0.5334282842798673,0.299575,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,0,0.40578920681060815,0.299575,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,0,0.554869052493367,0.299575,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,1,0.3463549990474364,0.2996,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,1,0.3854843720059856,0.2996,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,1,0.368327486707964,0.2996,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,1,0.37088424474271675,0.2996,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,1,0.5551155912514348,0.2996,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,1,0.4552208437899239,0.2996,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,1,0.5482094569716945,0.2996,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,2,0.3102225436145669,0.297475,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,2,0.2871852287807557,0.297475,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,2,0.17197864556268116,0.297475,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,2,0.43127194911021016,0.297475,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,2,0.5360224781950329,0.297475,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,2,0.3796552955655451,0.297475,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,2,0.5496319970216537,0.297475,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,3,0.36607433873562933,0.297225,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,3,0.3126622749400174,0.297225,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,3,0.3438613728011206,0.297225,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,3,0.47863920094687584,0.297225,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,3,0.5652904420190334,0.297225,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,3,0.4222709415456083,0.297225,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,3,0.5498132452225049,0.297225,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,4,0.4409553132796531,0.293975,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,4,0.41359437190332604,0.293975,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,4,0.44415120189594026,0.293975,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,4,0.5668539633984034,0.293975,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,4,0.6132787011752687,0.293975,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,4,0.4516463790556292,0.293975,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,4,0.5849583257651535,0.293975,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,0,0.3869966767335775,0.34,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,0,0.12655415767742906,0.34,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,0,0.4322018505188646,0.34,success
CaliforniaHousing,0.3,MAR,PretrainEnc,0,0.4530124555512568,0.34,success
CaliforniaHousing,0.3,MAR,ImputeMLP,0,0.5354795747074439,0.34,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,0,0.2184028601543534,0.34,success
CaliforniaHousing,0.3,MAR,IterImp+RF,0,0.5261167262604598,0.34,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,1,0.3948726664876926,0.336425,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,1,0.3605605516943653,0.336425,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,1,0.47589090680212265,0.336425,success
CaliforniaHousing,0.3,MAR,PretrainEnc,1,0.5299497968683164,0.336425,success
CaliforniaHousing,0.3,MAR,ImputeMLP,1,0.5578800085826479,0.336425,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,1,0.3229790843317044,0.336425,success
CaliforniaHousing,0.3,MAR,IterImp+RF,1,0.5165383924807867,0.336425,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,2,0.37134539871106764,0.336075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,2,0.38684407950802224,0.336075,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,2,0.48419105361354287,0.336075,success
CaliforniaHousing,0.3,MAR,PretrainEnc,2,0.5369714019318064,0.336075,success
CaliforniaHousing,0.3,MAR,ImputeMLP,2,0.579680562721107,0.336075,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,2,0.12311895734338074,0.336075,success
CaliforniaHousing,0.3,MAR,IterImp+RF,2,0.5373396858230461,0.336075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,3,0.4816660660186164,0.335075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,3,0.4667621471214196,0.335075,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,3,0.3856384582647391,0.335075,success
CaliforniaHousing,0.3,MAR,PretrainEnc,3,0.549661983099397,0.335075,success
CaliforniaHousing,0.3,MAR,ImputeMLP,3,0.6030043205207276,0.335075,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,3,0.42003447772270885,0.335075,success
CaliforniaHousing,0.3,MAR,IterImp+RF,3,0.5554114016398273,0.335075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,4,0.3657348379009655,0.33475,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,4,0.42856281659053386,0.33475,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,4,0.5113006142460765,0.33475,success
CaliforniaHousing,0.3,MAR,PretrainEnc,4,0.5527959874086361,0.33475,success
CaliforniaHousing,0.3,MAR,ImputeMLP,4,0.5873359970858312,0.33475,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,4,0.36520453378283424,0.33475,success
CaliforniaHousing,0.3,MAR,IterImp+RF,4,0.5071132017695132,0.33475,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d3,0,0.16108701456376062,0.4959,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d5,0,0.11458158861822798,0.4959,success
CaliforniaHousing,0.5,MCAR,NM+C_gelu,0,-0.0403022711118044,0.4959,success
CaliforniaHousing,0.5,MCAR,PretrainEnc,0,0.2853583442709521,0.4959,success
CaliforniaHousing,0.5,MCAR,ImputeMLP,0,0.39559266634079415,0.4959,success
CaliforniaHousing,0.5,MCAR,IterImp+Ridge,0,0.24237210217431482,0.4959,success
CaliforniaHousing,0.5,MCAR,IterImp+RF,0,0.3609940274502137,0.4959,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d3,1,0.12023697486619567,0.501325,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d5,1,0.27943543229324797,0.501325,success
CaliforniaHousing,0.5,MCAR,NM+C_gelu,1,0.2954655331680628,0.501325,success
CaliforniaHousing,0.5,MCAR,PretrainEnc,1,0.3822161145871208,0.501325,success
CaliforniaHousing,0.5,MCAR,ImputeMLP,1,0.4120915049275323,0.501325,success
CaliforniaHousing,0.5,MCAR,IterImp+Ridge,1,0.31894481633146654,0.501325,success
CaliforniaHousing,0.5,MCAR,IterImp+RF,1,0.3916698238206423,0.501325,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d3,2,0.0717646222770717,0.496275,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d5,2,-0.1611077065874742,0.496275,success
CaliforniaHousing,0.5,MCAR,NM+C_gelu,2,-0.19167941426701796,0.496275,success
CaliforniaHousing,0.5,MCAR,PretrainEnc,2,0.22621296090614762,0.496275,success
CaliforniaHousing,0.5,MCAR,ImputeMLP,2,0.3494822879259798,0.496275,success
CaliforniaHousing,0.5,MCAR,IterImp+Ridge,2,0.14640846401727248,0.496275,success
CaliforniaHousing,0.5,MCAR,IterImp+RF,2,0.35779070067687513,0.496275,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d3,3,0.1328344148696029,0.492075,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d5,3,0.16200004977668614,0.492075,success
CaliforniaHousing,0.5,MCAR,NM+C_gelu,3,0.18070528892418747,0.492075,success
CaliforniaHousing,0.5,MCAR,PretrainEnc,3,0.3699936985905654,0.492075,success
CaliforniaHousing,0.5,MCAR,ImputeMLP,3,0.4064920283144611,0.492075,success
CaliforniaHousing,0.5,MCAR,IterImp+Ridge,3,0.32359641216963153,0.492075,success
CaliforniaHousing,0.5,MCAR,IterImp+RF,3,0.39207330150742403,0.492075,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d3,4,0.2717915284873069,0.495025,success
CaliforniaHousing,0.5,MCAR,NeuMiss_d5,4,0.25451769375752775,0.495025,success
CaliforniaHousing,0.5,MCAR,NM+C_gelu,4,0.24539137168575076,0.495025,success
CaliforniaHousing,0.5,MCAR,PretrainEnc,4,0.32757717930885843,0.495025,success
CaliforniaHousing,0.5,MCAR,ImputeMLP,4,0.3828317243926844,0.495025,success
CaliforniaHousing,0.5,MCAR,IterImp+Ridge,4,0.2836910235867335,0.495025,success
CaliforniaHousing,0.5,MCAR,IterImp+RF,4,0.4058513105799457,0.495025,success
CaliforniaHousing,0.5,MAR,NeuMiss_d3,0,0.3371413895601275,0.480075,success
CaliforniaHousing,0.5,MAR,NeuMiss_d5,0,0.24007901853699176,0.480075,success
CaliforniaHousing,0.5,MAR,NM+C_gelu,0,0.3702379464299923,0.480075,success
CaliforniaHousing,0.5,MAR,PretrainEnc,0,0.4291650078276006,0.480075,success
CaliforniaHousing,0.5,MAR,ImputeMLP,0,0.41736358418765906,0.480075,success
CaliforniaHousing,0.5,MAR,IterImp+Ridge,0,0.17739937567987774,0.480075,success
CaliforniaHousing,0.5,MAR,IterImp+RF,0,0.4142020895670825,0.480075,success
CaliforniaHousing,0.5,MAR,NeuMiss_d3,1,0.30968176578916873,0.4793,success
CaliforniaHousing,0.5,MAR,NeuMiss_d5,1,0.2816207767995895,0.4793,success
CaliforniaHousing,0.5,MAR,NM+C_gelu,1,0.36847692016638345,0.4793,success
CaliforniaHousing,0.5,MAR,PretrainEnc,1,0.4537836410348921,0.4793,success
CaliforniaHousing,0.5,MAR,ImputeMLP,1,0.47786625472666244,0.4793,success
CaliforniaHousing,0.5,MAR,IterImp+Ridge,1,0.24246460120832136,0.4793,success
CaliforniaHousing,0.5,MAR,IterImp+RF,1,0.445493044447527,0.4793,success
CaliforniaHousing,0.5,MAR,NeuMiss_d3,2,-0.06068819891060384,0.481825,success
CaliforniaHousing,0.5,MAR,NeuMiss_d5,2,0.27589286501729227,0.481825,success
CaliforniaHousing,0.5,MAR,NM+C_gelu,2,0.39915406886417015,0.481825,success
CaliforniaHousing,0.5,MAR,PretrainEnc,2,0.42086980343455527,0.481825,success
CaliforniaHousing,0.5,MAR,ImputeMLP,2,0.49324111663588754,0.481825,success
CaliforniaHousing,0.5,MAR,IterImp+Ridge,2,0.1456892232779774,0.481825,success
CaliforniaHousing,0.5,MAR,IterImp+RF,2,0.46691521636123845,0.481825,success
CaliforniaHousing,0.5,MAR,NeuMiss_d3,3,0.276759129474877,0.477825,success
CaliforniaHousing,0.5,MAR,NeuMiss_d5,3,0.2779672055870577,0.477825,success
CaliforniaHousing,0.5,MAR,NM+C_gelu,3,0.3718730675769859,0.477825,success
CaliforniaHousing,0.5,MAR,PretrainEnc,3,0.3484756437041471,0.477825,success
CaliforniaHousing,0.5,MAR,ImputeMLP,3,0.526800609076449,0.477825,success
CaliforniaHousing,0.5,MAR,IterImp+Ridge,3,0.2672673914356767,0.477825,success
CaliforniaHousing,0.5,MAR,IterImp+RF,3,0.47494291196989225,0.477825,success
CaliforniaHousing,0.5,MAR,NeuMiss_d3,4,0.2760660706169257,0.477025,success
CaliforniaHousing,0.5,MAR,NeuMiss_d5,4,0.3194870792253367,0.477025,success
CaliforniaHousing,0.5,MAR,NM+C_gelu,4,0.3514185212223846,0.477025,success
CaliforniaHousing,0.5,MAR,PretrainEnc,4,0.382123609664449,0.477025,success
CaliforniaHousing,0.5,MAR,ImputeMLP,4,0.48310094266183545,0.477025,success
CaliforniaHousing,0.5,MAR,IterImp+Ridge,4,0.2867420301372856,0.477025,success
CaliforniaHousing,0.5,MAR,IterImp+RF,4,0.4274019190462762,0.477025,success
Diabetes,0.1,MCAR,NeuMiss_d3,0,-0.31201519818845247,0.10113122171945702,success
Diabetes,0.1,MCAR,NeuMiss_d5,0,-0.1637190234240271,0.10113122171945702,success
Diabetes,0.1,MCAR,NM+C_gelu,0,-0.6033416974276917,0.10113122171945702,success
Diabetes,0.1,MCAR,PretrainEnc,0,0.3497540755836782,0.10113122171945702,success
Diabetes,0.1,MCAR,ImputeMLP,0,0.423320242157775,0.10113122171945702,success
Diabetes,0.1,MCAR,IterImp+Ridge,0,0.4595059759664367,0.10113122171945702,success
Diabetes,0.1,MCAR,IterImp+RF,0,0.4235954049595352,0.10113122171945702,success
Diabetes,0.1,MCAR,NeuMiss_d3,1,0.21232567968546512,0.09819004524886878,success
Diabetes,0.1,MCAR,NeuMiss_d5,1,-0.6226687113925058,0.09819004524886878,success
Diabetes,0.1,MCAR,NM+C_gelu,1,-0.09320849928231412,0.09819004524886878,success
Diabetes,0.1,MCAR,PretrainEnc,1,0.4335115986734317,0.09819004524886878,success
Diabetes,0.1,MCAR,ImputeMLP,1,0.5236135006209565,0.09819004524886878,success
Diabetes,0.1,MCAR,IterImp+Ridge,1,0.5363723693386999,0.09819004524886878,success
Diabetes,0.1,MCAR,IterImp+RF,1,0.47303090782871593,0.09819004524886878,success
Diabetes,0.1,MCAR,NeuMiss_d3,2,-0.1513973017962058,0.09457013574660633,success
Diabetes,0.1,MCAR,NeuMiss_d5,2,-0.40440333575960064,0.09457013574660633,success
Diabetes,0.1,MCAR,NM+C_gelu,2,-0.9327580124752142,0.09457013574660633,success
Diabetes,0.1,MCAR,PretrainEnc,2,0.32084601647043864,0.09457013574660633,success
Diabetes,0.1,MCAR,ImputeMLP,2,0.31494737506880455,0.09457013574660633,success
Diabetes,0.1,MCAR,IterImp+Ridge,2,0.36086071913483453,0.09457013574660633,success
Diabetes,0.1,MCAR,IterImp+RF,2,0.24962586925121089,0.09457013574660633,success
Diabetes,0.1,MCAR,NeuMiss_d3,3,-1.1014604163206845,0.09660633484162896,success
Diabetes,0.1,MCAR,NeuMiss_d5,3,-1.16154563037023,0.09660633484162896,success
Diabetes,0.1,MCAR,NM+C_gelu,3,-0.35680362106727026,0.09660633484162896,success
Diabetes,0.1,MCAR,PretrainEnc,3,0.44442183814580727,0.09660633484162896,success
Diabetes,0.1,MCAR,ImputeMLP,3,0.5512116102996536,0.09660633484162896,success
Diabetes,0.1,MCAR,IterImp+Ridge,3,0.5645734314683499,0.09660633484162896,success
Diabetes,0.1,MCAR,IterImp+RF,3,0.4993588585525318,0.09660633484162896,success
Diabetes,0.1,MCAR,NeuMiss_d3,4,0.26343522044615064,0.09343891402714932,success
Diabetes,0.1,MCAR,NeuMiss_d5,4,-0.4254128539301989,0.09343891402714932,success
Diabetes,0.1,MCAR,NM+C_gelu,4,-0.8073831437969277,0.09343891402714932,success
Diabetes,0.1,MCAR,PretrainEnc,4,0.09994400874226228,0.09343891402714932,success
Diabetes,0.1,MCAR,ImputeMLP,4,0.3482089144706578,0.09343891402714932,success
Diabetes,0.1,MCAR,IterImp+Ridge,4,0.3923086873246324,0.09343891402714932,success
Diabetes,0.1,MCAR,IterImp+RF,4,0.41314724167117667,0.09343891402714932,success
Diabetes,0.1,MAR,NeuMiss_d3,0,-0.2644264530792535,0.21040723981900453,success
Diabetes,0.1,MAR,NeuMiss_d5,0,-0.25010930856536273,0.21040723981900453,success
Diabetes,0.1,MAR,NM+C_gelu,0,-0.5162922533421586,0.21040723981900453,success
Diabetes,0.1,MAR,PretrainEnc,0,0.44090911239473807,0.21040723981900453,success
Diabetes,0.1,MAR,ImputeMLP,0,0.40659094846346544,0.21040723981900453,success
Diabetes,0.1,MAR,IterImp+Ridge,0,0.3970671602938307,0.21040723981900453,success
Diabetes,0.1,MAR,IterImp+RF,0,0.3849746204729084,0.21040723981900453,success
Diabetes,0.1,MAR,NeuMiss_d3,1,-0.38553067965902277,0.20452488687782805,success
Diabetes,0.1,MAR,NeuMiss_d5,1,-0.8133981355206892,0.20452488687782805,success
Diabetes,0.1,MAR,NM+C_gelu,1,-1.045116728751137,0.20452488687782805,success
Diabetes,0.1,MAR,PretrainEnc,1,0.3190302689677764,0.20452488687782805,success
Diabetes,0.1,MAR,ImputeMLP,1,0.5033041786478916,0.20452488687782805,success
Diabetes,0.1,MAR,IterImp+Ridge,1,0.5681647056051506,0.20452488687782805,success
Diabetes,0.1,MAR,IterImp+RF,1,0.5472347117274887,0.20452488687782805,success
Diabetes,0.1,MAR,NeuMiss_d3,2,-0.29814600236526023,0.20452488687782805,success
Diabetes,0.1,MAR,NeuMiss_d5,2,-0.356219936232262,0.20452488687782805,success
Diabetes,0.1,MAR,NM+C_gelu,2,-1.133609451966513,0.20452488687782805,success
Diabetes,0.1,MAR,PretrainEnc,2,0.2836440717775117,0.20452488687782805,success
Diabetes,0.1,MAR,ImputeMLP,2,0.29964388334006775,0.20452488687782805,success
Diabetes,0.1,MAR,IterImp+Ridge,2,0.2398382376568231,0.20452488687782805,success
Diabetes,0.1,MAR,IterImp+RF,2,0.19035194903925212,0.20452488687782805,success
Diabetes,0.1,MAR,NeuMiss_d3,3,-1.6923661423298633,0.19434389140271494,success
Diabetes,0.1,MAR,NeuMiss_d5,3,-0.7500040080131389,0.19434389140271494,success
Diabetes,0.1,MAR,NM+C_gelu,3,-0.729410330629231,0.19434389140271494,success
Diabetes,0.1,MAR,PretrainEnc,3,0.3558363393853532,0.19434389140271494,success
Diabetes,0.1,MAR,ImputeMLP,3,0.47853607567274703,0.19434389140271494,success
Diabetes,0.1,MAR,IterImp+Ridge,3,0.5312382141339729,0.19434389140271494,success
Diabetes,0.1,MAR,IterImp+RF,3,0.4183543304668541,0.19434389140271494,success
Diabetes,0.1,MAR,NeuMiss_d3,4,-0.3760852686436851,0.19751131221719456,success
Diabetes,0.1,MAR,NeuMiss_d5,4,-0.6099182086293704,0.19751131221719456,success
Diabetes,0.1,MAR,NM+C_gelu,4,-1.1201517124876847,0.19751131221719456,success
Diabetes,0.1,MAR,PretrainEnc,4,0.2173879162335669,0.19751131221719456,success
Diabetes,0.1,MAR,ImputeMLP,4,0.31591498772395876,0.19751131221719456,success
Diabetes,0.1,MAR,IterImp+Ridge,4,0.3862933511139601,0.19751131221719456,success
Diabetes,0.1,MAR,IterImp+RF,4,0.400845199652652,0.19751131221719456,success
Diabetes,0.3,MCAR,NeuMiss_d3,0,-0.7496883881704206,0.3058823529411765,success
Diabetes,0.3,MCAR,NeuMiss_d5,0,-0.9004543743705109,0.3058823529411765,success
Diabetes,0.3,MCAR,NM+C_gelu,0,-1.368277861224319,0.3058823529411765,success
Diabetes,0.3,MCAR,PretrainEnc,0,0.12375061995462511,0.3058823529411765,success
Diabetes,0.3,MCAR,ImputeMLP,0,0.32720986209683134,0.3058823529411765,success
Diabetes,0.3,MCAR,IterImp+Ridge,0,0.44230264148894793,0.3058823529411765,success
Diabetes,0.3,MCAR,IterImp+RF,0,0.4240971253630914,0.3058823529411765,success
Diabetes,0.3,MCAR,NeuMiss_d3,1,-0.1573906542374166,0.3029411764705882,success
